model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
RW,1,audio,ALPHA_RW,0.33532,1,-292.22,720,2,597.5985024240202
RW,1,audio,BETA_RW,8.48666,1,-292.22,720,2,597.5985024240202
RW,1,audio,MENU_TIME,2.0,0,-292.22,720,2,597.5985024240202
RW,1,audio,HOTKEY_TIME,0.9,0,-292.22,720,2,597.5985024240202
RW,1,audio,LEARNING_COST,1.8,0,-292.22,720,2,597.5985024240202
RW,1,audio,ERROR_COST,3.0,0,-292.22,720,2,597.5985024240202
