model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
RW,10,audio,ALPHA_RW,0.24523,1,-339.79,720,2,692.7385024240202
RW,10,audio,BETA_RW,8.62334,1,-339.79,720,2,692.7385024240202
RW,10,audio,MENU_TIME,2.0,0,-339.79,720,2,692.7385024240202
RW,10,audio,HOTKEY_TIME,0.9,0,-339.79,720,2,692.7385024240202
RW,10,audio,LEARNING_COST,1.8,0,-339.79,720,2,692.7385024240202
RW,10,audio,ERROR_COST,3.0,0,-339.79,720,2,692.7385024240202
