model,user_id,technique,parameter,value,freedom,log_likelihood,n_observations,n_parameters,BIC
RW,9,traditional,ALPHA_RW,0.06152,1,-267.91,720,2,548.9785024240202
RW,9,traditional,BETA_RW,14.0,1,-267.91,720,2,548.9785024240202
RW,9,traditional,MENU_TIME,2.0,0,-267.91,720,2,548.9785024240202
RW,9,traditional,HOTKEY_TIME,0.9,0,-267.91,720,2,548.9785024240202
RW,9,traditional,LEARNING_COST,1.8,0,-267.91,720,2,548.9785024240202
RW,9,traditional,ERROR_COST,3.0,0,-267.91,720,2,548.9785024240202
